"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1)
01,01,Alabama,Total,"3,591    ","2,184    ",60.8    ,"2,061    ",57.4    ,123    ,5.6    ,4.9 – 6.3
01,02,Alabama,Men,"1,699    ","1,157    ",68.1    ,"1,083    ",63.7    ,75    ,6.4    ,5.4 – 7.4
01,03,Alabama,Women,"1,892    ","1,027    ",54.3    ,979    ,51.7    ,48    ,4.7    ,3.8 – 5.6
01,04,Alabama,White,"2,616    ","1,589    ",60.8    ,"1,525    ",58.3    ,64    ,4.1    ,3.4 – 4.8
01,05,Alabama,"White, men","1,260    ",875    ,69.4    ,832    ,66.0    ,43    ,4.9    ,3.9 – 5.9
01,06,Alabama,"White, women","1,355    ",715    ,52.7    ,693    ,51.1    ,22    ,3.1    ,2.2 – 4
01,07,Alabama,Black or African American,882    ,530    ,60.1    ,477    ,54.1    ,53    ,10.0    ,8.1 – 11.9
01,08,Alabama,"Black or African American, men",389    ,242    ,62.2    ,214    ,54.9    ,29    ,11.8    ,9.4 – 14.2
01,09,Alabama,"Black or African American, women",493    ,288    ,58.4    ,264    ,53.5    ,24    ,8.5    ,6.3 – 10.7
01,13,Alabama,Hispanic or Latino ethnicity,105    ,87    ,82.7    ,83    ,79.2    ,4    ,4.3    ,1.5 – 7.1
01,14,Alabama,"Hispanic or Latino ethnicity, men",66    ,63    ,96.9    ,61    ,92.7    ,3    ,4.3    ,1.3 – 7.3
01,16,Alabama,"Married men, spouse present",945    ,683    ,72.3    ,660    ,69.9    ,23    ,3.4    ,2.5 – 4.3
01,17,Alabama,"Married women, spouse present",936    ,520    ,55.5    ,508    ,54.3    ,11    ,2.2    ,1.3 – 3.1
01,18,Alabama,Women who maintain families,266    ,165    ,62.1    ,156    ,58.5    ,10    ,5.8    ,3.4 – 8.2
01,19,Alabama,"Total, 16 to 19 years",254    ,93    ,36.4    ,74    ,29.1    ,19    ,20.2    ,15.6 – 24.8
01,20,Alabama,"Total, 20 to 24 years",341    ,241    ,70.7    ,213    ,62.6    ,28    ,11.5    ,8.9 – 14.1
01,21,Alabama,"Total, 25 to 34 years",582    ,470    ,80.8    ,442    ,75.9    ,29    ,6.1    ,4.6 – 7.6
