"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1),,
01,01,Alabama,Total,"3,731    ","2,224    ",59.6    ,"2,006    ",53.8    ,218    ,9.8    ,8.9 – 10.7,,
01,02,Alabama,Men,"1,767    ","1,170    ",66.2    ,"1,044    ",59.1    ,126    ,10.8    ,9.6 – 12,,
01,03,Alabama,Women,"1,964    ","1,054    ",53.6    ,962    ,49.0    ,92    ,8.7    ,7.5 – 9.9,,
01,04,Alabama,White,"2,728    ","1,631    ",59.8    ,"1,506    ",55.2    ,125    ,7.7    ,6.8 – 8.6,,
01,05,Alabama,"White, men","1,322    ",903    ,68.3    ,829    ,62.7    ,74    ,8.2    ,7 – 9.4,,
01,06,Alabama,"White, women","1,406    ",727    ,51.7    ,676    ,48.1    ,51    ,7.0    ,5.7 – 8.3,,
01,07,Alabama,Black or African American,938    ,555    ,59.2    ,464    ,49.5    ,91    ,16.4    ,14 – 18.8,,
01,08,Alabama,"Black or African American, men",413    ,246    ,59.6    ,195    ,47.1    ,52    ,20.9    ,18.5 – 23.3,,
01,09,Alabama,"Black or African American, women",525    ,309    ,58.8    ,269    ,51.3    ,39    ,12.7    ,9.9 – 15.5,,
01,10,Alabama,Asian,38    ,26    ,67.2    ,24    ,63.3    ,1    ,5.8    ,( 2 ) – ( 2 ),,
01,13,Alabama,Hispanic or Latino ethnicity,97    ,67    ,69.3    ,59    ,60.6    ,8    ,12.6    ,7.6 – 17.6,,
01,14,Alabama,"Hispanic or Latino ethnicity, men",51    ,45    ,88.1    ,40    ,79.8    ,4    ,9.4    ,4.1 – 14.7,,
01,16,Alabama,"Married men, spouse present",987    ,694    ,70.3    ,651    ,65.9    ,44    ,6.3    ,5 – 7.6,,
01,17,Alabama,"Married women, spouse present",943    ,526    ,55.8    ,495    ,52.5    ,32    ,6.0    ,4.6 – 7.4,,
01,18,Alabama,Women who maintain families,278    ,177    ,63.5    ,155    ,55.7    ,22    ,12.3    ,9.1 – 15.5,,
01,19,Alabama,"Total, 16 to 19 years",262    ,83    ,31.8    ,65    ,24.9    ,18    ,21.9    ,16.7 – 27.1,,
01,20,Alabama,"Total, 20 to 24 years",299    ,214    ,71.4    ,171    ,57.0    ,43    ,20.2    ,16.9 – 23.5,,
01,21,Alabama,"Total, 25 to 34 years",624    ,485    ,77.7    ,430    ,68.9    ,55    ,11.3    ,9.4 – 13.2,,
01,22,Alabama,"Total, 35 to 44 years",621    ,494    ,79.5    ,451    ,72.6    ,43    ,8.7    ,7 – 10.4,,
01,23,Alabama,"Total, 45 to 54 years",657    ,491    ,74.8    ,457    ,69.5    ,35    ,7.0    ,5.4 – 8.6,,
01,24,Alabama,"Total, 55 to 64 years",601    ,349    ,58.0    ,331    ,55.0    ,18    ,5.2    ,3.6 – 6.8,,
01,25,Alabama,"Total, 65 years and over",666    ,107    ,16.1    ,101    ,15.2    ,6    ,5.6    ,2.6 – 8.6,,
