"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1)
01,01,Alabama,Total,"3,830","2,160",56.4,"2,066",53.9,94,4.3,3.7 – 4.9
01,02,Alabama,Men,"1,809","1,145",63.3,"1,095",60.5,50,4.4,3.6 – 5.2
01,03,Alabama,Women,"2,021","1,015",50.2,972,48.1,44,4.3,3.4 – 5.2
01,04,Alabama,White,"2,705","1,525",56.4,"1,476",54.6,49,3.2,2.6 – 3.8
01,05,Alabama,"White, men","1,300",844,64.9,817,62.9,27,3.1,2.3 – 3.9
01,06,Alabama,"White, women","1,405",681,48.4,659,46.9,22,3.2,2.3 – 4.1
01,07,Alabama,Black or African American,990,552,55.7,510,51.5,41,7.5,5.8 – 9.2
01,08,Alabama,"Black or African American, men",439,257,58.7,235,53.6,22,8.6,6.0 – 11.2
01,09,Alabama,"Black or African American, women",551,294,53.4,275,49.9,19,6.5,4.3 – 8.7
01,13,Alabama,Hispanic or Latino ethnicity,116,83,71.9,81,70.0,2,2.7,0.6 – 4.8
01,16,Alabama,"Married men, spouse present",954,660,69.2,645,67.6,15,2.3,1.5 – 3.1
01,17,Alabama,"Married women, spouse present",968,508,52.5,495,51.2,13,2.5,1.6 – 3.4
01,18,Alabama,Women who maintain families,277,161,58.2,151,54.3,11,6.8,4.1 – 9.5
01,19,Alabama,"Total, 16 to 19 years",260,74,28.5,63,24.1,11,15.3,9.3 – 21.3
01,20,Alabama,"Total, 20 to 24 years",320,219,68.4,206,64.3,13,6.0,3.8 – 8.2
01,21,Alabama,"Total, 25 to 34 years",614,488,79.5,462,75.3,26,5.3,3.9 – 6.7
01,22,Alabama,"Total, 35 to 44 years",573,427,74.6,411,71.8,16,3.7,2.5 – 4.9
01,23,Alabama,"Total, 45 to 54 years",637,473,74.3,459,72.0,14,3.0,2.0 – 4.0
01,24,Alabama,"Total, 55 to 64 years",666,357,53.6,347,52.0,11,3.0,1.8 – 4.2
01,25,Alabama,"Total, 65 years and over",761,121,16.0,119,15.7,2,1.8,0.2 – 3.4
01,27,Alabama,"Men, 20 to 24 years",154,109,70.9,102,66.1,7,6.7,3.4 – 10.0
01,28,Alabama,"Men, 25 to 34 years",301,263,87.5,249,82.8,14,5.4,3.5 – 7.3
01,29,Alabama,"Men, 35 to 44 years",274,229,83.6,222,81.0,7,3.1,1.6 – 4.6
01,30,Alabama,"Men, 45 to 54 years",306,252,82.2,244,79.6,8,3.2,1.7 – 4.7
01,31,Alabama,"Men, 55 to 64 years",306,189,61.8,182,59.5,7,3.6,1.8 – 5.4
01,32,Alabama,"Men, 65 years and over",341,67,19.6,66,19.3,1,1.3,(2)-
01,34,Alabama,"Women, 20 to 24 years",166,110,66.2,104,62.6,6,5.4,2.5 – 8.3
01,35,Alabama,"Women, 25 to 34 years",313,225,71.9,213,68.1,12,5.3,3.3 – 7.3
01,36,Alabama,"Women, 35 to 44 years",298,198,66.3,189,63.4,9,4.4,2.4 – 6.4
01,37,Alabama,"Women, 45 to 54 years",331,221,66.9,215,65.0,6,2.9,1.4 – 4.4
01,38,Alabama,"Women, 55 to 64 years",360,168,46.7,164,45.7,4,2.2,0.7 – 3.7
01,41,Alabama,"White, 20 to 24 years",191,132,68.8,124,64.5,8,6.2,3.3 – 9.1
01,42,Alabama,"White, 25 to 34 years",422,337,79.8,325,76.9,12,3.6,2.2 – 5.0
01,43,Alabama,"White, 35 to 44 years",386,293,76.0,285,73.9,8,2.8,1.5 – 4.1
01,44,Alabama,"White, 45 to 54 years",453,344,75.8,336,74.1,8,2.2,1.2 – 3.2
01,45,Alabama,"White, 55 to 64 years",474,266,56.1,261,54.9,6,2.1,0.9 – 3.3
01,46,Alabama,"White, 65 years and over",607,99,16.4,98,16.2,1,1.0,(2)-
01,48,Alabama,"Black or African American, 20 to 24 years",112,76,67.9,72,63.9,4,5.9,1.9 – 9.9
01,49,Alabama,"Black or African American, 25 to 34 years",163,130,79.5,116,71.3,13,10.4,6.3 – 14.5
01,50,Alabama,"Black or African American, 35 to 44 years",168,118,70.4,111,65.8,8,6.5,3.1 – 9.9
01,51,Alabama,"Black or African American, 45 to 54 years",159,113,70.6,106,66.5,6,5.7,2.4 – 9.0
01,52,Alabama,"Black or African American, 55 to 64 years",172,78,45.4,74,42.9,4,5.4,1.6 – 9.2
02,01,Alaska,Total,547,366,67.0,338,61.8,28,7.7,6.6 – 8.8
02,02,Alaska,Men,279,194,69.6,176,63.2,18,9.1,7.4 – 10.8
02,03,Alaska,Women,268,172,64.3,162,60.3,11,6.2,4.7 – 7.7
02,04,Alaska,White,358,244,68.1,232,64.7,12,5.0,3.9 – 6.1
02,05,Alaska,"White, men",185,131,71.1,124,67.0,7,5.7,4.0 – 7.4
02,06,Alaska,"White, women",173,112,65.0,108,62.2,5,4.2,2.7 – 5.7
02,07,Alaska,Black or African American,18,12,68.1,11,59.3,2,12.9,6.0 – 19.8
02,10,Alaska,Asian,38,26,67.3,25,64.9,1,3.6,1.6 – 5.6
02,11,Alaska,"Asian, men",16,11,70.8,11,68.4,(3)-,3.5,0.7 – 6.3
02,12,Alaska,"Asian, women",22,14,64.8,14,62.4,1,3.6,1.0 – 6.2
02,13,Alaska,Hispanic or Latino ethnicity,29,21,72.1,20,69.6,1,3.5,1.3 – 5.7
02,14,Alaska,"Hispanic or Latino ethnicity, men",15,11,75.2,11,72.0,(3)-,4.3,1.0 – 7.6
02,16,Alaska,"Married men, spouse present",135,100,74.0,94,69.9,6,5.6,3.7 – 7.5
