"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1),,
01,01,Alabama,Total,"3,558    ","2,183    ",61.4    ,"2,096    ",58.9    ,87    ,4.0    ,3.4 – 4.6,,
01,02,Alabama,Men,"1,688    ","1,154    ",68.4    ,"1,105    ",65.5    ,49    ,4.3    ,3.5 – 5.1,,
01,03,Alabama,Women,"1,869    ","1,029    ",55.0    ,991    ,53.0    ,38    ,3.7    ,2.9 – 4.5,,
01,04,Alabama,White,"2,592    ","1,595    ",61.5    ,"1,547    ",59.7    ,48    ,3.0    ,2.4 – 3.6,,
01,05,Alabama,"White, men","1,260    ",890    ,70.6    ,861    ,68.3    ,29    ,3.3    ,2.5 – 4.1,,
01,06,Alabama,"White, women","1,332    ",705    ,52.9    ,686    ,51.5    ,19    ,2.7    ,1.9 – 3.5,,
01,07,Alabama,Black or African American,869    ,525    ,60.4    ,490    ,56.3    ,35    ,6.7    ,5.2 – 8.2,,
01,08,Alabama,"Black or African American, men",383    ,231    ,60.3    ,213    ,55.4    ,19    ,8.1    ,6 – 10.2,,
01,09,Alabama,"Black or African American, women",486    ,294    ,60.4    ,277    ,57.0    ,16    ,5.6    ,3.8 – 7.4,,
01,13,Alabama,Hispanic or Latino ethnicity,106    ,82    ,77.5    ,81    ,76.2    ,1    ,1.8    ,( 2 ) – ( 2 ),,
01,14,Alabama,"Hispanic or Latino ethnicity, men",62    ,59    ,94.5    ,58    ,92.9    ,1    ,1.6    ,( 2 ) – ( 2 ),,
01,16,Alabama,"Married men, spouse present",985    ,710    ,72.1    ,696    ,70.6    ,15    ,2.1    ,1.4 – 2.8,,
01,17,Alabama,"Married women, spouse present",919    ,523    ,56.9    ,510    ,55.6    ,12    ,2.4    ,1.5 – 3.3,,
01,18,Alabama,Women who maintain families,273    ,165    ,60.5    ,158    ,57.9    ,7    ,4.3    ,2.2 – 6.4,,
01,19,Alabama,"Total, 16 to 19 years",235    ,86    ,36.4    ,71    ,30.3    ,14    ,16.8    ,12.2 – 21.4,,
