"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1),,
01,01,Alabama,Total,"3,646    ","2,180    ",59.8    ,"1,952    ",53.5    ,228    ,10.5    ,9.6 – 11.4,,
01,02,Alabama,Men,"1,728    ","1,137    ",65.8    ,"1,008    ",58.4    ,129    ,11.3    ,10 – 12.6,,
01,03,Alabama,Women,"1,919    ","1,042    ",54.3    ,943    ,49.2    ,99    ,9.5    ,8.3 – 10.7,,
01,04,Alabama,White,"2,668    ","1,600    ",60.0    ,"1,466    ",55.0    ,133    ,8.3    ,7.3 – 9.3,,
01,05,Alabama,"White, men","1,291    ",866    ,67.1    ,780    ,60.4    ,86    ,9.9    ,8.5 – 11.3,,
01,06,Alabama,"White, women","1,378    ",734    ,53.3    ,686    ,49.8    ,48    ,6.5    ,5.2 – 7.8,,
01,07,Alabama,Black or African American,907    ,534    ,58.9    ,444    ,49.0    ,90    ,16.8    ,14.3 – 19.3,,
01,08,Alabama,"Black or African American, men",400    ,245    ,61.1    ,202    ,50.5    ,42    ,17.3    ,14.3 – 20.3,,
01,09,Alabama,"Black or African American, women",507    ,290    ,57.1    ,242    ,47.7    ,47    ,16.4    ,13.5 – 19.3,,
01,10,Alabama,Asian,35    ,23    ,64.9    ,20    ,57.5    ,3    ,11.5    ,2.4 – 20.6,,
01,13,Alabama,Hispanic or Latino ethnicity,112    ,86    ,76.3    ,79    ,70.3    ,7    ,7.8    ,4.1 – 11.5,,
01,14,Alabama,"Hispanic or Latino ethnicity, men",64    ,62    ,96.7    ,59    ,92.7    ,3    ,4.2    ,1 – 7.4,,
01,15,Alabama,"Hispanic or Latino ethnicity, women",48    ,24    ,49.0    ,20    ,40.5    ,4    ,17.3    ,( 2 ) – ( 2 ),,
01,16,Alabama,"Married men, spouse present",947    ,657    ,69.4    ,610    ,64.5    ,47    ,7.1    ,5.7 – 8.5,,
01,17,Alabama,"Married women, spouse present",937    ,527    ,56.3    ,487    ,52.0    ,40    ,7.7    ,6.1 – 9.3,,
01,18,Alabama,Women who maintain families,285    ,175    ,61.2    ,146    ,51.3    ,28    ,16.2    ,12.7 – 19.7,,
01,19,Alabama,"Total, 16 to 19 years",234    ,73    ,31.4    ,51    ,21.7    ,23    ,30.8    ,25.6 – 36,,
01,20,Alabama,"Total, 20 to 24 years",308    ,217    ,70.2    ,171    ,55.5    ,45    ,20.9    ,17.6 – 24.2,,
01,21,Alabama,"Total, 25 to 34 years",599    ,478    ,79.8    ,415    ,69.3    ,63    ,13.2    ,11.2 – 15.2,,
01,22,Alabama,"Total, 35 to 44 years",631    ,502    ,79.6    ,461    ,73.0    ,41    ,8.3    ,6.6 – 10,,
01,23,Alabama,"Total, 45 to 54 years",665    ,494    ,74.2    ,456    ,68.6    ,37    ,7.6    ,6 – 9.2,,
01,24,Alabama,"Total, 55 to 64 years",551    ,322    ,58.5    ,306    ,55.6    ,16    ,5.0    ,3.3 – 6.7,,
