"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1),,
01,01,Alabama,Total,"3,748    ","2,176    ",58.1    ,"2,001    ",53.4    ,175    ,8.0    ,7.2 – 8.8,,
01,02,Alabama,Men,"1,773    ","1,150    ",64.8    ,"1,055    ",59.5    ,94    ,8.2    ,7 – 9.4,,
01,03,Alabama,Women,"1,975    ","1,026    ",52.0    ,946    ,47.9    ,81    ,7.9    ,6.7 – 9.1,,
01,04,Alabama,White,"2,701    ","1,596    ",59.1    ,"1,496    ",55.4    ,100    ,6.3    ,5.4 – 7.2,,
01,05,Alabama,"White, men","1,306    ",895    ,68.5    ,838    ,64.1    ,57    ,6.4    ,5.2 – 7.6,,
01,06,Alabama,"White, women","1,395    ",702    ,50.3    ,658    ,47.2    ,43    ,6.2    ,4.9 – 7.5,,
01,07,Alabama,Black or African American,940    ,514    ,54.6    ,448    ,47.6    ,66    ,12.9    ,10.3 – 15.5,,
01,08,Alabama,"Black or African American, men",415    ,223    ,53.7    ,191    ,46.0    ,32    ,14.2    ,10 – 18.4,,
01,09,Alabama,"Black or African American, women",526    ,291    ,55.4    ,257    ,48.8    ,35    ,11.9    ,8.6 – 15.2,,
01,10,Alabama,Asian,47    ,30    ,63.2    ,29    ,61.1    ,1    ,3.3    ,( 2 ) – ( 2 ),,
01,13,Alabama,Hispanic or Latino ethnicity,97    ,70    ,71.8    ,60    ,62.0    ,10    ,13.8    ,8 – 19.6,,
01,14,Alabama,"Hispanic or Latino ethnicity, men",49    ,41    ,84.0    ,37    ,75.2    ,4    ,10.4    ,3.7 – 17.1,,
01,16,Alabama,"Married men, spouse present",969    ,680    ,70.1    ,648    ,66.9    ,31    ,4.6    ,3.5 – 5.7,,
01,17,Alabama,"Married women, spouse present",968    ,528    ,54.5    ,503    ,51.9    ,25    ,4.7    ,3.4 – 6,,
01,18,Alabama,Women who maintain families,251    ,150    ,59.8    ,131    ,52.4    ,19    ,12.3    ,8.3 – 16.3,,
01,19,Alabama,"Total, 16 to 19 years",279    ,80    ,28.6    ,66    ,23.7    ,14    ,17.1    ,10.7 – 23.5,,
01,20,Alabama,"Total, 20 to 24 years",303    ,202    ,66.9    ,170    ,56.2    ,32    ,16.0    ,12.1 – 19.9,,
01,21,Alabama,"Total, 25 to 34 years",609    ,476    ,78.1    ,423    ,69.4    ,53    ,11.1    ,9 – 13.2,,
01,22,Alabama,"Total, 35 to 44 years",602    ,463    ,76.9    ,435    ,72.3    ,28    ,6.1    ,4.5 – 7.7,,
